WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
WPR,South-Eastern Asia,Lao People's Democratic Republic,2013,1.26140009331e-05,0.82,1.20499609921e-05,0.72
EUR,Northern Europe,Latvia,2013,0.0,0.96,3.92717062084e-06,0.9
EMR,Western Asia,Lebanon,2013,5.10687555679e-06,0.75,6.09228594753e-07,0.75
EUR,Northern Europe,Lithuania,2013,6.74807089523e-07,0.93,0.0,0.93
EUR,Western Europe,Luxembourg,2013,0.0,0.99,1.87800480769e-06,0.99
WPR,South-Eastern Asia,Malaysia,2013,3.86216090278e-05,0.95,2.71863286879e-05,0.95
SEAR,Southern Asia,Maldives,2013,0.0,0.99,0.0,0.99
AFR,Eastern Africa,Mauritius,2013,7.91414732977e-06,0.99,7.15227998792e-06,0.99
AMR,Central America,Mexico,2013,0.0,0.89,1.63839130945e-08,0.99
WPR,Eastern Asia,Mongolia,2013,2.79801480849e-06,0.97,8.5459737781e-05,0.99
EUR,Southern Europe,Montenegro,2013,0.0,0.88,0.0,0.9
EUR,Western Europe,Netherlands,2013,3.45049960855e-06,0.96,5.97039163381e-08,0.96
WPR,Australia/New Zealand,New Zealand,2013,2.23950121829e-07,0.92,9.01737648449e-07,0.92
AMR,Central America,Nicaragua,2013,0.0,0.99,0.0,0.99
WPR,Polynesia,Niue,2013,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2013,5.90150389991e-07,0.93,1.99267889773e-07,0.94
EMR,Western Asia,Oman,2013,0.0,0.99,3.66694027683e-06,0.99
WPR,Micronesia,Palau,2013,0.0,0.99,0.0,0.91
AMR,Central America,Panama,2013,0.0,0.92,0.0,0.98
AMR,South America,Paraguay,2013,0.0,0.92,0.0,0.91
AMR,South America,Peru,2013,0.0,0.85,0.0,0.94
WPR,South-Eastern Asia,Philippines,2013,2.60321437532e-06,0.9,1.04147876654e-06,0.85
EUR,Eastern Europe,Poland,2013,0.000998117492303,0.98,0.000162214004899,0.98
EUR,Southern Europe,Portugal,2013,0.0,0.98,2.85306162042e-07,0.97
EMR,Western Asia,Qatar,2013,2.76020920482e-05,0.99,9.92250523412e-06,0.97
WPR,Eastern Asia,Republic of Korea,2013,3.41045235438e-07,0.99,5.44262116635e-07,0.99
EUR,Eastern Europe,Republic of Moldova,2013,0.0,0.91,7.36241487208e-07,0.91
EUR,Eastern Europe,Romania,2013,7.32539294418e-06,0.92,0.00104347215711,0.94
EUR,Eastern Europe,Russian Federation,2013,1.62519580819e-06,0.98,6.99991080871e-06,0.98
