"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"countryVal[4]",0.000313964205924667,0.000189523626207878,-1.084375e-05,0.0001605,0.00033395,0.0004479,0.0007098025,2.51555099716786,4
"countryVal[5]",0.000319365785776333,0.000198373554822307,-2.83705e-05,0.0001409,0.0003495,0.000488,0.0006729075,3.00006873402038,4
"countryVal[6]",0.000328015002079333,0.000183735887312813,2.89465e-05,0.000154975,0.0003697,0.000448825,0.0006754125,1,1
"countryVal[7]",0.000290886505444667,0.000183621044019036,-2.059175e-05,0.0001297,0.0003143,0.0004087,0.0006414075,1,1
"countryVal[8]",0.000325912814102,0.000185446658560726,2.208075e-05,0.000149175,0.000367,0.0004489,0.000678505,1,1
"countryVal[9]",0.000334360528323333,0.00019890915104963,9.71805000000001e-07,0.00016065,0.0003559,0.0004886,0.000719534999999999,2.93321129142976,4
"countryVal[10]",0.000291466977947333,0.000182858453580571,-2.1024e-05,0.000131925,0.00031455,0.0004089,0.000638125,1,1
"countryVal[11]",0.000477970218866667,0.000199063675642141,0.0001199,0.0003144,0.0005117,0.000614,0.0008564075,2.94782246132794,4
"countryVal[12]",0.000305507550244667,0.000192290121622139,-3.979025e-05,0.000140775,0.0003388,0.0004334,0.0006789125,2.93381895526105,4
"countryVal[13]",0.000331437612953333,0.000199016860706169,-7.28019999999999e-07,0.0001567,0.0003532,0.0004881,0.000708715,3.01088313847027,4
"countryVal[14]",0.000310379142571333,0.000182772390493052,-5.80975e-06,0.0001376,0.0003394,0.0004321,0.00065471,1,1
"countryVal[15]",0.000310669963416667,0.000183694664695248,-1.19605e-05,0.0001384,0.0003393,0.0004321,0.000656905,1,1
"countryVal[16]",0.000313331447032667,0.000176600162147401,-5.537575e-06,0.000168075,0.00032645,0.0004449,0.0006701125,2.62639715354891,4
"countryVal[17]",0.000478568026,0.000197908973229839,0.0001209,0.000312875,0.00051165,0.0006141,0.000848805,2.94851266050556,4
"countryVal[18]",0.000325215199626867,0.000198749653955143,-2.19365e-05,0.0001703,0.0003546,0.0004677,0.0006892125,2.62647729167287,4
"countryVal[19]",0.000314155829276667,0.000176416154686774,-3.7152e-06,0.000170175,0.00032705,0.0004458,0.0006730025,2.60559084644078,4
"countryVal[20]",0.000327484198182667,0.000199704724114637,-1.795525e-05,0.000148675,0.0003559,0.0004931,0.0006897,3.08051315344178,4
